ts_key;title;country;category
psqmfcc12xcc122scai15ea19cb;Euro Area 19, Eurostat, Building Permits, Building Permits - M2 of Useful Floor Area, Non-Residential Buildings, Except Office Buildings (F_CC12_X_CC122), 2015=100, Calendar Adjusted, SA, Index;ea;Construction 
prodfcc2scai15ea19co;Euro Area 19, Eurostat, Production in Construction, Volume Index of Production, Civil Engineering Works (F_CC2), 2015=100, Calendar Adjusted, SA, Index;ea;Construction 
cons2_ea_tot_cof_bs_m;Euro Area, Consumer Surveys, DG ECFIN, Consumer Confidence, Balance, SA;ea;Consumer Surveys
cons2_ea_tot_4_bs_m;Euro Area, Consumer Surveys, DG ECFIN, Consumer Confidence, General Economic Situation Over Next 12 Months, Balance, SA;ea;Consumer Surveys
cons2_ea_re2_2_bs_m;Euro Area, Consumer Surveys, DG ECFIN, Subcategories - by Household Income, 2nd Quartile, Financial Situation over Next 12 Months, SA;ea;Consumer Surveys
cons2_ea_tot_11_bs_m;Euro Area, Consumer Surveys, DG ECFIN, Consumer Confidence, Savings Over Next 12 Months, Balance, SA;ea;Consumer Surveys
cons2_ea_tot_7_bs_m;Euro Area, Consumer Surveys, DG ECFIN, Consumer Confidence, Unemployment Expectations Over Next 12 Months, Balance, SA;ea;Consumer Surveys
ecb_00139115;Euro Area, ECB, ECB Reference Exchange Rate, USD, EUR, Average or Standardised Measure;ea;Financial Variables
ecb_00170141;Euro Area, ECB, Real Effective Exchange Rate CPI Deflated, EA19 vis-a-vis EER-42, EUR, Average or Standardised Measure, Index;ea;Financial Variables
sxbsce;Euro Area, Equity Indices, STOXX, Basic Materials, Index, Price Return, Close, EUR;ea;Financial Variables
scost;Europe, Equity Indices, STOXX, Consumer Staples, 600, Optimized Index, Price Return, EUR;ea;Financial Variables
ftseftp_3ec5000_eur;Euro Area, Equity Indices, FTSEurofirst, Consumer Services, Consumer Discretionary, 300 Index, Price Return, Close, EUR;ea;Financial Variables
sxfine;Euro Area, Equity Indices, STOXX, Financials, Index, Price Return, Close, EUR;ea;Financial Variables
sx8e;Euro Area, Equity Indices, STOXX, Technology, Index, Price Return, Close, EUR;ea;Financial Variables
sxde;Euro Area, Equity Indices, STOXX, Health Care, Index, Price Return, Close, EUR;ea;Financial Variables
sxidue;Euro Area, Equity Indices, STOXX, Industrials, Index, Price Return, Close, EUR;ea;Financial Variables
sxee;Euro Area, Equity Indices, STOXX, Oil & Gas, Index, Price Return, Close, EUR;ea;Financial Variables
sxke;Euro Area, Equity Indices, STOXX, Telecommunications, Index, Price Return, Close, EUR;ea;Financial Variables
sx6e;Euro Area, Equity Indices, STOXX, Utilities, Index, Price Return, Close, EUR;ea;Financial Variables
sxae;Euro Area, Equity Indices, STOXX, Automobiles & Parts, Index, Price Return, Close, EUR;ea;Financial Variables
sx7e;Euro Area, Equity Indices, STOXX, Banks, Index, Price Return, Close, EUR;ea;Financial Variables
sxfe;Euro Area, Equity Indices, STOXX, Financial Services, Index, Price Return, Close, EUR;ea;Financial Variables
sxne;Euro Area, Equity Indices, STOXX, Industrial Goods & Services, Index, Price Return, Close, EUR;ea;Financial Variables
sxie;Euro Area, Equity Indices, STOXX, Insurance, Index, Price Return, Close, EUR;ea;Financial Variables
sxte;Euro Area, Equity Indices, STOXX, Travel & Leisure, Index, Price Return, Close, EUR;ea;Financial Variables
sxre;Euro Area, Equity Indices, STOXX, Retail, Index, Price Return, Close, EUR;ea;Financial Variables
sxoe;Euro Area, Equity Indices, STOXX, Construction & Materials, Index, Price Return, Close, EUR;ea;Financial Variables
eubopa0117;Euro Area 19, Current Account, Net Transactions, Total, Calendar Adjusted, SA, EUR;ea;International Trade
impivolnsaextea19capea199b;Euro Area 19, Eurostat, International Trade in Goods, Imports, Extra-Euro Area-19, Capital Goods, Volume, Index;ea;International Trade
impivolnsaextea19intea199b;Euro Area 19, Eurostat, International Trade in Goods, Imports, Extra-Euro Area-19, Intermediate Goods, Volume, Index;ea;International Trade
impivolnsaextea19totalea199b;Euro Area 19, Eurostat, International Trade in Goods, Imports, Extra-Euro Area-19, Total, Volume, Index;ea;International Trade
impivolnsaextea19consea199b;Euro Area 19, Eurostat, International Trade in Goods, Imports, Extra-Euro Area-19, Consumption Goods, Volume, Index;ea;International Trade
expivolnsaextea19capea199b;Euro Area 19, Eurostat, International Trade in Goods, Exports, Extra-Euro Area-19, Capital Goods, Volume, Index;ea;International Trade
expivolnsaextea19intea199b;Euro Area 19, Eurostat, International Trade in Goods, Exports, Extra-Euro Area-19, Intermediate Goods, Volume, Index;ea;International Trade
expivolnsaextea19totalea199b;Euro Area 19, Eurostat, International Trade in Goods, Exports, Extra-Euro Area-19, Total, Volume, Index;ea;International Trade
eupric2362;Euro Area 19, Import Prices, Mining & Quarrying, Manufacturing (Except MIG Energy), Index, EUR;ea;International Trade
expivolscaextea19sitc1ea199s;Euro Area 19, Eurostat, International Trade in Goods, Exports, Extra-Euro Area-19, Beverages & Tobacco, Volume, Calendar Adjusted, SA, Index;ea;International Trade
expivolscaextea19sitc3ea199s;Euro Area 19, Eurostat, International Trade in Goods, Exports, Extra-Euro Area-19, Mineral Fuels, Lubricants & Related Materials, Volume, Calendar Adjusted, SA, Index;ea;International Trade
expivolscaextea19sitc24ea199s;Euro Area 19, Eurostat, International Trade in Goods, Exports, Extra-Euro Area-19, Raw Materials, Volume, Calendar Adjusted, SA, Index;ea;International Trade
expivolscaextea19sitc01ea199s;Euro Area 19, Eurostat, International Trade in Goods, Exports, Extra-Euro Area-19, Food, Drinks & Tobacco, Volume, Calendar Adjusted, SA, Index;ea;International Trade
expivolscaextea19sitc68ea199s;Euro Area 19, Eurostat, International Trade in Goods, Exports, Extra-Euro Area-19, Other Manufactured Goods, Volume, Calendar Adjusted, SA, Index;ea;International Trade
expivolscaextea19sitc7ea199s;Euro Area 19, Eurostat, International Trade in Goods, Exports, Extra-Euro Area-19, Machinery & Transport Equipment, Volume, Calendar Adjusted, SA, Index;ea;International Trade
expivolscaextea19sitc5_8ea199s;Euro Area 19, Eurostat, International Trade in Goods, Exports, Extra-Euro Area-19, Manufactured Goods, Volume, Calendar Adjusted, SA, Index;ea;International Trade
expivolscaextea19sitc5ea199s;Euro Area 19, Eurostat, International Trade in Goods, Exports, Extra-Euro Area-19, Chemicals & Related Products, N.E.S., Volume, Calendar Adjusted, SA, Index;ea;International Trade
expivolscaextea19sitc33ea199s;Euro Area 19, Eurostat, International Trade in Goods, Exports, Extra-Euro Area-19, Petroleum, Petroleum Products & Related Materials, Volume, Calendar Adjusted, SA, Index;ea;International Trade
expivolscaextea19sitc8ea199s;Euro Area 19, Eurostat, International Trade in Goods, Exports, Extra-Euro Area-19, Miscellaneous Manufactured Articles, Volume, Calendar Adjusted, SA, Index;ea;International Trade
expivolscaextea19sitc0ea199s;Euro Area 19, Eurostat, International Trade in Goods, Exports, Extra-Euro Area-19, Food & Live Animals, Volume, Calendar Adjusted, SA, Index;ea;International Trade
expivolscaextea19totalea199s;Euro Area 19, Eurostat, International Trade in Goods, Exports, Extra-Euro Area-19, Total, Volume, Calendar Adjusted, SA, Index;ea;International Trade
expivolscaextea19sitc6ea199s;Euro Area 19, Eurostat, International Trade in Goods, Exports, Extra-Euro Area-19, Manufactured Goods Classified Chiefly by Material, Volume, Calendar Adjusted, SA, Index;ea;International Trade
expivolscaextea19sitc4ea199s;Euro Area 19, Eurostat, International Trade in Goods, Exports, Extra-Euro Area-19, Animal & Vegetable Oils, Fats & Waxes, Volume, Calendar Adjusted, SA, Index;ea;International Trade
expivolscaextea19sitc2ea199s;Euro Area 19, Eurostat, International Trade in Goods, Exports, Extra-Euro Area-19, Crude Materials, Inedible, Except Fuels, Volume, Calendar Adjusted, SA, Index;ea;International Trade
satotalthspertea19tm;Euro Area 19, Eurostat, Employment & Unemployment, Unemployment, LFS Adjusted Series, Unemployment by Sex & Age - Monthly Average, Males & Females, All Ages, Total, Persons, SA;ea;Labor Market
ecb_stsmi7yordensc0023000;Euro Area 19, New Orders, Non-Domestic Market, Manufacturing, Calendar Adjusted, Constant Prices, SA, Index;ea;Manufacturing 
ecb_stsmi7yorddnsc0023000;Euro Area 19, New Orders, Domestic Market, Manufacturing, Calendar Adjusted, Constant Prices, SA, Index;ea;Manufacturing 
ecb_stsmi7yordtns00423000;Euro Area 19, New Orders, Total, Intermediate Goods Working on Orders, Calendar Adjusted, Constant Prices, SA, Index;ea;Manufacturing 
ecb_stsmi7yordtns00523000;Euro Area 19, New Orders, Total, Capital Goods, for New Orders, Calendar Adjusted, Constant Prices, SA, Index;ea;Manufacturing 
ecb_stsmi7yordtns00723000;Euro Area 19, New Orders, Total, Non-Durable Consumer Goods Working on Orders, Calendar Adjusted, Constant Prices, SA, Index;ea;Manufacturing 
ecb_stsmi7yordtns00623000;Euro Area 19, New Orders, Total, Durable Consumer Goods Working on Orders, Calendar Adjusted, Constant Prices, SA, Index;ea;Manufacturing 
ecb_stsmi7yordxnsc0023000;Euro Area 19, New Orders, Non-Domestic Market (Non-Euro Area), Manufacturing, Calendar Adjusted, Constant Prices, SA, Index;ea;Manufacturing 
ecb_stsmi7yordtns00823000;Euro Area 19, New Orders, Total, Consumer Goods Working on Orders, Calendar Adjusted, Constant Prices, SA, Index;ea;Manufacturing 
ecb_stsmi7yordtnsc0033000;Euro Area 19, New Orders, Total, Manufacturing (Except Heavy Transport Equipment), Calendar Adjusted, Constant Prices, SA, Index;ea;Manufacturing 
ecb_stsmi7yordznsc0023000;Euro Area 19, New Orders, Non-Domestic Market (Euro Area), Manufacturing, Calendar Adjusted, Constant Prices, SA, Index;ea;Manufacturing 
ecb_00209356;Euro Area 19, ECB, Turnover Index, Manufacturing (NACE Rev. 2), Institution Originating the Data Flow: Eurostat, Calendar Adjusted, SA;ea;Manufacturing 
prodmigcagscai15ea19pm;Euro Area 19, Eurostat, Production in Industry, MIG - Capital Goods, 2015=100, Calendar Adjusted, SA, Index;ea;Manufacturing 
prodmigcogscai15ea19pm;Euro Area 19, Eurostat, Production in Industry, MIG - Consumer Goods, 2015=100, Calendar Adjusted, SA, Index;ea;Manufacturing 
prodmigdcogscai15ea19pm;Euro Area 19, Eurostat, Production in Industry, MIG - Durable Consumer Goods, 2015=100, Calendar Adjusted, SA, Index;ea;Manufacturing 
prodmignrgxescai15ea19pm;Euro Area 19, Eurostat, Production in Industry, MIG - Energy (Except Section E), 2015=100, Calendar Adjusted, SA, Index;ea;Manufacturing 
prodmigingscai15ea19pm;Euro Area 19, Eurostat, Production in Industry, MIG - Intermediate Goods, 2015=100, Calendar Adjusted, SA, Index;ea;Manufacturing 
euprod0032;Euro Area 19, Manufacturing, Total, Calendar Adjusted, SA, Index;ea;Manufacturing 
euprod0001;Euro Area 19, Industrial Production, Total Excluding Construction, Calendar Adjusted, SA, Index;ea;Manufacturing 
prinb_e36nsai15ea19pd;Euro Area 19, Eurostat, Producer Prices in Industry, Domestic Market, Industry (Except Construction, Sewerage, Waste Management & Remediation Activities) (B-E36), 2015=100, Index;ea;Prices and Monetary Variables
eupric0001;Euro Area, HICP, All-Items, Index;ea;Prices and Monetary Variables
ecb_00899822;Euro Area, ECB, Consumer Price Index (HICP), Institution Originating the Data: Eurostat, Special Series, All-Items Excluding Energy & Unprocessed Food, Change Y/Y;ea;Prices and Monetary Variables
eu10ygovecb_m;Euro Area, Government Benchmarks, ECB, 10 Year, Yield, End of Period;ea;Prices and Monetary Variables
ecb_00858138;Euro Area, ECB, Financial Market Provider: Reuters, Money Market, EURIBOR 3-Month, Historical Close, Average of Period;ea;Prices and Monetary Variables
ecb_00213031;Euro Area 19, ECB, Vehicle Registrations, New Passenger Cars, Institution Originating the Data Flow: ECB, Calendar Adjusted, SA;ea;Retail and Consumption
ecb_00244925;Euro Area 19, ECB, Turnover Index (Deflated), Retail Trade Including Fuel, Except of Motor Vehicles & Motorcycles (NACE Rev. 2), Institution Originating the Data Flow: Eurostat, Calendar Adjusted, SA;ea;Retail and Consumption
eutrad0031;Euro Area 19, Domestic Trade, Retail Trade, Total, Turnover, Deflated, Calendar Adjusted, Constant Prices, SA, Index;ea;Retail and Consumption
oecd_mei_00383784;Belgium, OECD MEI, Leading Indicators OECD, Leading Indicators, Composite Leading Indicators, Trend Restored, SA, Index;be;Business Surveys
besurv0522;Belgium, Business Surveys, Bank of Belgium, Total, Manufacturing Industry, SA;be;Business Surveys
besurv0523;Belgium, Business Surveys, Bank of Belgium, Total, Building Industry, Structural Building Work, SA;be;Business Surveys
besurv0524;Belgium, Business Surveys, Bank of Belgium, Total, Trade, SA;be;Business Surveys
besurv0521;Belgium, Business Surveys, Bank of Belgium, Total, Overall Synthetic Curve, SA;be;Business Surveys
beecfin0010;Belgium, Economic Surveys, DG ECFIN, Economic Sentiment Indicator, Balance, SA, Index;be;Business Surveys
reta_be_tot_cof_b_m;Belgium, Business Surveys, DG ECFIN, Retail Trade Confidence Indicator, Balance;be;Business Surveys
besurv0905;Belgium, Business Surveys, Bank of Belgium, Building Industry, Order Book Appraisal, Total, SA;be;Business Surveys
besurv0844;Belgium, Business Surveys, Bank of Belgium, Building Industry, Trend in Employment, Carcases of Buildings (Synthetic Curve), SA;be;Business Surveys
besurv0903;Belgium, Business Surveys, Bank of Belgium, Building Industry, Trend in Equipment, Total, SA;be;Business Surveys
besurv0901;Belgium, Business Surveys, Bank of Belgium, Building Industry, Trend in Order Book, Total, SA;be;Business Surveys
besurv0842;Belgium, Business Surveys, Bank of Belgium, Building Industry, Movement of Activity, Carcases of Buildings (Synthetic Curve), SA;be;Business Surveys
besurv0848;Belgium, Business Surveys, Bank of Belgium, Building Industry, Trend in Selling Prices, Carcases of Buildings (Synthetic Curve), SA;be;Business Surveys
besurv0907;Belgium, Business Surveys, Bank of Belgium, Building Industry, Expected Trend of Demand, Total, SA;be;Business Surveys
besurv0846;Belgium, Business Surveys, Bank of Belgium, Building Industry, Employment  Next 3 Months, Carcases of Buildings (Synthetic Curve), SA;be;Business Surveys
